scientific_name	taxonid
Pipistrellus grandidieri	85736277
Scotophilus nux	20071
Phyllostomus elongatus	17217
Plecotus macrobullaris	136229
Histiotus magellanicus	136292
Taphozous nudiventris	21462
Rhinopoma hadramauticum	82345696
Platyrrhinus aurarius	17566
Pteralopex flanneryi	136587
Craseonycteris thonglongyai	5481
Mormopterus doriae	13881
Balantiopteryx infusca	2531
Hipposideros madurae	10147
Lavia frons	11378
Micronycteris matses	136207
Scotorepens balstoni	14942
Myotis oxyotus	14187
Emballonura dianae	7673
Chaerephon jobensis	4312
Pteropus chrysoproctus	99688187
Hipposideros vittatus	135485
Kerivoula minuta	10978
Hipposideros ater	10111
Corynorhinus rafinesquii	17600
Centurio senex	4133
Myotis fortidens	14161
Murina recondita	84500842
Myzopoda aurita	14288
Eidolon dupreanum	7083
Pipistrellus murrayi	136769
Kerivoula phalaena	10984
Hipposideros dyacorum	10132
Coleura kibomalandy	80221085
Myotis dinellii	136204
Lophostoma schulzi	21987
Glauconycteris superba	44799
Nycteris intermedia	14931
Scotophilus borbonicus	20064
Myotis lucifugus	14176
Neoromicia roseveari	67359375
Plecotus sacrimontis	136664
Scotonycteris ophiodon	20059
Kerivoula muscina	10979
Pipistrellus imbricatus	17342
Desmalopex microleucopterus	84457227
Rhinolophus keyensis	19577
Cloeotis percivali	4983
Artibeus concolor	2125
Chironax melanocephalus	4670
Rhinolophus deckenii	19537
Myotis secundus	85342651
Scotophilus leucogaster	20069
Furipterus horrens	8771
Myotis keaysi	14170
Nycteris tragata	14937
Saccolaimus mixtus	19800
Rhinolophus nereis	19556
Hipposideros hypophyllus	10138
Carollia castanea	88110411
Myotis sicarius	14202
Nycteris hispida	14930
Mops midas	13841
Brachyphylla nana	2983
Thyroptera devivoi	136594
Choeroniscus godmani	4772
Pipistrellus stenopterus	17364
Rhinolophus pearsonii	19559
Chaerephon aloysiisabaudiae	4305
Rhinolophus ruwenzorii	44784
Histiotus montanus	10202
Murina tubinaris	84560827
Vespertilio murinus	22947
Taphozous georgianus	21454
Hypsugo lophurus	17347
Dobsonia crenulata	136571
Eptesicus bobrinskoi	7914
Hipposideros edwardshilli	10133
Nyctimene sanctacrucis	14961
Tadarida ventralis	21318
Micronycteris hirsuta	13378
Histiotus humboldti	29606
Mops nanulus	13843
Kerivoula pellucida	10983
Pipistrellus coromandra	17335
Eumops maurus	8246
Myotis altarium	14141
Eumops bonariensis	87993837
Lasionycteris noctivagans	11339
Carollia perspicillata	3905
Centronycteris centralis	136350
Vampyriscus nymphaea	22840
Miniopterus macrocneme	136579
Kerivoula picta	10985
Myotis nyctor	76435059
Myotis dieteri	136678
Tadarida latouchei	40036
Pipistrellus aladdin	85333758
Miniopterus australis	13562
Thyroptera discifera	21877
Lonchophylla bokermanni	12263
Pipistrellus aero	17323
Epomophorus gambianus	7903
Molossus pretiosus	13649
Kerivoula agnella	10968
Hipposideros inornatus	136739
Baeodon gracilis	19681
Hipposideros cyclops	10126
Myotis aurascens	136553
Myotis ridleyi	14194
Rousettus linduensis	136593
Nycticeius aenobarbus	136562
Lophostoma kalkoae	88149216
Peropteryx kappleri	16707
Nyctalus lasiopterus	14918
Ariteus flavescens	2110
Sturnira sorianoi	136778
Plecotus ognevi	136598
Hipposideros curtus	10125
Chilonatalus macer	88088745
Rhinolophus acuminatus	19520
Nyctimene cephalotes	14963
Sphaerias blanfordi	20521
Mormopterus phrudus	13887
Hipposideros dinops	10129
Myotis austroriparius	14147
Natalus primus	136777
Pipistrellus minahassae	17350
Rhinolophus clivosus	19531
Myotis borneoensis	85568289
Eptesicus kobayashii	7933
Nyctalus noctula	14920
Mesophylla macconnelli	13240
Myotis davidii	136250
Hipposideros khasiana	85646546
Myotis grisescens	14132
Artibeus fimbriatus	2126
Diclidurus ingens	6562
Hipposideros griffini	80222915
Chiroderma improvisum	4665
Hipposideros grandis	136478
Eptesicus brasiliensis	7916
Myotis nesopolus	14184
Harpyionycteris whiteheadi	9740
Natalus mexicanus	123984355
Rhinolophus swinnyi	19572
Lonchophylla peracchii	88150984
Rhinopoma microphyllum	19600
Ptenochirus jagori	18653
Nycteris madagascariensis	40022
Melonycteris fardoulisi	13141
Scoteanax rueppellii	14946
Glischropus bucephalus	81189973
Myotis keenii	14171
Eptesicus furinalis	7927
Nycteris arge	14926
Kerivoula papillosa	10981
Megaloglossus woermanni	84462869
Miniopterus paululus	136233
Glauconycteris variegata	44800
Mormopterus norfolkensis	13885
Rhinolophus denti	19538
Amorphochilus schnablii	1154
Artibeus schwartzi	88109897
Chilonatalus micropus	88088852
Lonchophylla cadenai	88149262
Saccolaimus peli	19801
Cyttarops alecto	6206
Megaerops wetmorei	12948
Taphozous hilli	21457
Macrotus californicus	12652
Parastrellus hesperus	17341
Miniopterus pusillus	13569
Hipposideros scutinares	136586
Taphozous hildegardeae	21456
Myzopoda schliemanni	136465
Baeodon alleni	19679
Cynomops paranus	87993365
Platyrrhinus helleri	88159886
Nyctimene cyclotis	14955
Miniopterus medius	13567
Hipposideros orbiculus	136192
Hipposideros lylei	10145
Pipistrellus sturdeei	17365
Cardioderma cor	3859
Mormopterus kitcheneri	71532724
Hipposideros pygmaeus	10156
Micropteropus pusillus	13402
Taphozous achates	21453
Nyctinomops femorosaccus	14994
Scotophilus tandrefana	136675
Nyctophilus arnhemensis	15000
Sturnira tildae	20960
Plerotes anchietae	17618
Chrotopterus auritus	4811
Choeroniscus periosus	4775
Harpiocephalus harpia	99711843
Myotis schaubi	14198
Rhinophylla alethina	19591
Gardnerycteris koepckeae	136266
Dermanura watsoni	99586593
Eumops nanus	87994060
Eptesicus innoxius	7932
Chaerephon pumilus	67362271
Myotis anjouanensis	44863
Antrozous pallidus	1790
Phyllostomus hastatus	17218
Scleronycteris ega	20033
Pipistrellus nanulus	17353
Sturnira bakeri	88152001
Rhogeessa minutilla	19682
Hipposideros larvatus	10143
Myotis izecksohni	88151563
Glauconycteris gleni	44794
Anoura caudifer	88108473
Glauconycteris argentata	44790
Pteropus intermedius	136841
Dobsonia anderseni	136374
Histiotus laephotis	136502
Artibeus aequatorialis	88109970
Natalus tumidirostris	14362
Lasiurus xanthinus	41532
Barbastella barbastellus	2553
Vampyriscus bidens	22837
Pteropus rennelli	136685
Miniopterus sororculus	136401
Rhinophylla pumilio	19593
Hipposideros wollastoni	10166
Pteropus fundatus	18724
Platalina genovensium	17487
Triaenops parvus	81082829
Dermanura tolteca	2140
Neoromicia malagasyensis	136820
Scotophilus heathii	20067
Myotis macrodactylus	14177
Eumops trumbulli	136809
Nyctimene vizcaccia	14967
Phoniscus papuensis	10982
Myotis evotis	14157
Dobsonia beauforti	6772
Cynomops milleri	87993512
Promops davisoni	88087551
Neoromicia matroka	40033
Lasiurus ebenus	11349
Dermanura glauca	83683065
Rhinolophus microglobosus	84384558
Platyrrhinus infuscus	17571
Myotis capaccinii	14126
Vespertilio sinensis	22949
Cynopterus sphinx	6106
Rhinolophus indorouxii	84376286
Chalinolobus dwyeri	4414
Nycteris aurita	14927
Myotis nipalensis	136495
Glauconycteris humeralis	44795
Rhinolophus blasii	19515
Emballonura serii	41528
Pteropus aldabrensis	18714
Hipposideros sorenseni	10161
Miniopterus robustior	13570
Dryadonycteris capixaba	88120233
Nycteris woodi	14939
Otomops secundus	15650
Tonatia bidens	21983
Rhinolophus marshalli	19552
Pipistrellus pipistrellus	17317
Rhinolophus osgoodi	19557
Cynomops mexicanus	136611
Hypsugo affinis	17324
Mops niangarae	13844
Scotophilus andrewreborii	84466713
Saccopteryx bilineata	19804
Hipposideros bicolor	10113
Platyrrhinus masu	136577
Hipposideros tephrus	85646524
Nyctiellus lepidus	14358
Eptesicus lobatus	85200388
Harpiola grisea	13941
Falsistrellus tasmaniensis	17367
Pteropus samoensis	18757
Pteropus alecto	18715
Platyrrhinus vittatus	17574
Nycteris parisii	44695
Mimon cozumelae	136561
Cynopterus brachyotis	6103
Kerivoula whiteheadi	10987
Glossophaga leachii	9274
Rousettus madagascariensis	19750
Myotis longipes	14175
Scotorepens sanborni	14947
Rhinolophus shameli	19566
Dobsonia exoleta	6775
Bauerus dubiaquercus	1789
Eptesicus japonensis	136823
Nycteris grandis	14929
Asellia tridens	80221529
Eumops ferox	87994072
Miniopterus egeri	81633146
Sturnira aratathomasi	20949
Submyotodon latirostris	85537971
Rhinolophus robinsoni	136496
Scotophilus kuhlii	20068
Myotis diminutus	88151417
Tadarida aegyptiaca	21312
Neoromicia rendalli	44924
Myotis peytoni	85568321
Murina harrisoni	99712630
Nyctalus montanus	14923
Arielulus torquatus	40032
Hipposideros calcaratus	10116
Saccopteryx leptura	19807
Murina hilgendorfi	136409
Micropteropus intermedius	13401
Platyrrhinus dorsalis	88160389
Miniopterus fraterculus	13563
Eptesicus serotinus	7911
Anoura aequatoris	88109381
Myotis bombinus	14149
Myotis brandtii	14125
Murina ryukyuana	29485
Megaerops ecaudatus	12946
Lonchophylla robusta	12268
Rhinolophus adami	19521
Erophylla bombifrons	136247
Lasiurus pfeifferi	136217
Mormopterus acetabulosus	71733227
Rhinolophus ferrumequinum	19517
Pipistrellus permixtus	17358
Paranyctimene raptor	16174
Myotis blythii	14124
Dermanura phaeotis	83683287
Cheiromeles parvidens	4600
Hipposideros lankadiva	10142
Otomops papuensis	15649
Cynopterus horsfieldii	6104
Nyctalus plancyi	136828
Rhinolophus belligerator	84372084
Lasiurus varius	136690
Lasiurus atratus	29607
Rhogeessa aeneus	136810
Rhinolophus celebensis	19530
Syconycteris hobbit	21183
Murina aenea	13936
Neoromicia zuluensis	44927
Mops leucostigma	40024
Dobsonia inermis	6778
Mops condylurus	13838
Hesperoptenus doriae	9976
Glischropus tylopus	9248
Molossops mattogrossensis	13640
Pipistrellus rueppellii	17361
Rhinopoma cystops	82345555
Myotis adversus	14138
Phyllonycteris poeyi	17175
Eumops perotis	8247
Hipposideros beatus	10112
Molossops neglectus	13641
Hypsugo macrotis	17349
Pteropus tokudae	18763
Hypsugo dolichodon	85201719
Micronycteris schmidtorum	13383
Vespadelus caurinus	7919
Epomophorus anselli	136351
Miniopterus newtoni	136310
Xeronycteris vieirai	136321
Vespadelus douglasorum	7923
Epomophorus wahlbergi	7906
Hipposideros megalotis	10150
Nycteris gambiensis	14928
Pteropus pilosus	18749
Pteropus brunneus	18718
Hipposideros commersoni	10120
Lasiurus castaneus	11348
Pteropus anetianus	18716
Otomops harrisoni	95558305
Pteronotus quadridens	18710
Chalinolobus nigrogriseus	4421
Rousettus obliviosus	19757
Vampyrum spectrum	22843
Kerivoula myrella	10980
Pteropus temminckii	18762
Emballonura monticola	7674
Hipposideros demissus	10127
Nyctophilus nebulosus	136807
Myotis albescens	14140
Pteronotus davyi	18705
Pteropus ocularis	18745
Rhinolophus beddomei	40023
Nycticeinops schlieffeni	41533
Monophyllus plethodon	13719
Myotis punicus	44864
Chaerephon atsinanana	67360705
Hipposideros marisae	10149
Myonycteris brachycephala	14097
Myotis rufopictus	136411
Eudiscoderma thongareeae	80263386
Rhinolophus canuti	19528
Nyctimene draconilla	14956
Perimyotis subflavus	17366
Lonchophylla handleyi	12265
Rhinolophus madurensis	136410
Thoopterus nigrescens	21815
Scotophilus celebensis	20065
Hipposideros turpis	80224148
Rhinolophus sakejiensis	44785
Nyctinomops macrotis	14996
Chaerephon chapini	4310
Lasiurus degelidus	136306
Rhinolophus maendeleo	44783
Eptesicus fuscus	7928
Nycteris macrotis	14933
Nyctophilus shirleyae	85289876
Myotis auriculus	14145
Aethalops aequalis	136541
Eptesicus guadeloupensis	7929
Pteropus seychellensis	18759
Kerivoula flora	10973
Macroglossus sobrinus	12595
Lophostoma evotis	21986
Austronomus kuboriensis	136201
Hypsugo savii	44856
Dobsonia praedatrix	6777
Mormoops blainvillei	13877
Lasiurus insularis	136754
Chaerephon solomonis	4320
Taphozous longimanus	21459
Ozimops loriae	82345325
Rhogeessa velilla	88151777
Lonchorhina inusitata	40027
Murina balaensis	84487939
Eumops wilsoni	87993523
Anoura geoffroyi	88109511
Pteronotus paraguanensis	136610
Rhinolophus luctus	19548
Myotis septentrionalis	14201
Myotis cobanensis	14154
Natalus espiritosantensis	136448
Paratriaenops auritus	40025
Pteropus pelewensis ssp. pelewensis	136387
Trachops cirrhosus	22029
Platyrrhinus albericoi	136203
Hipposideros lekaguli	10144
Kerivoula cuprosa	10971
Pipistrellus musciculus	44855
Neoromicia melckorum	44922
Kerivoula titania	136817
Rhinolophus pusillus	85707059
Taphozous kapalgensis	21458
Vespadelus baverstocki	7913
Epomophorus crypturus	44697
Rhinolophus convexus	40037
Platyrrhinus umbratus	95908089
Nyctimene certans	14964
Myotis ikonnikovi	14168
Pteropus leucopterus	18731
Eumops glaucinus	87994083
Tadarida insignis	136716
Macrotus waterhousii	12653
Eptesicus bottae	7915
Nyctophilus gouldi	15004
Myotis macrotarsus	14178
Lasiurus minor	136627
Platyrrhinus angustirostris	88160255
Hesperoptenus blanfordi	9975
Hipposideros caffer	10115
Chaerephon bemmeleni	4307
Miniopterus magnater	13566
Rhogeessa parvula	19684
Murina puta	13944
Idionycteris phyllotis	10790
Hypsugo arabicus	17328
Hipposideros cineraceus	10119
Cynopterus minutus	136423
Miniopterus griffithsi	81633105
Miniopterus shortridgei	136827
Hypsugo cadornae	17331
Eptesicus nilssonii	7910
Hypsugo kitcheneri	17346
Miniopterus inflatus	13565
Murina florium	13939
Emballonura alecto	7670
Molossus aztecus	13645
Mops brachypterus	13837
Pipistrellus westralis	17370
Myotis martiniquensis	76435251
Pteropus woodfordi	18769
Glauconycteris curryae	44792
Miniopterus petersoni	81633135
Mosia nigrescens	13904
Hipposideros durgadasi	10131
Austronomus australis	21313
Pipistrellus maderensis	17315
Myotis leibii	14172
Glossophaga soricina	9277
Vespadelus regulus	7939
Neoromicia nana	44923
Phoniscus jagorii	10976
Eumops dabbenei	8243
Sturnira perla	88159664
Mops trevori	13850
Rhinolophus lepidus	19547
Rhinopoma muscatellum	19602
Tylonycteris robustula	22578
Pipistrellus javanicus	17344
Hipposideros pendlebury	80224655
Monophyllus redmani	13720
Nycteris vinsoni	44696
Hipposideros pelingensis	136600
Mops bakarii	67363010
Taphozous theobaldi	21465
Pteropus aruensis	136504
Myotis pruinosus	14192
Rhogeessa hussoni	136220
Nyctalus aviator	14921
Pteropus howensis	18728
Coelops robinsoni ssp. hirsutus	5075
Myotis atacamensis	14143
Kerivoula eriophora	10972
Chalinolobus neocaledonicus	4420
Diphylla ecaudata	6628
Rhinolophus cognatus	19533
Sturnira mordax	20957
Hipposideros nequam	10152
Myotis hajastanicus	136288
Neoromicia isabella	95558146
Hipposideros halophyllus	10137
Epomophorus minimus	7905
Scotorepens orion	14945
Murina aurata	13937
Eptesicus dimissus	7921
Plecotus christii	44931
Myotis hasseltii	14164
Paremballonura atrata	7671
Carollia sowelli	136268
Casinycteris argynnis	3999
Neopteryx frosti	14560
Hipposideros armiger	10110
Glyphonycteris behnii	13375
Pteropus cognatus	136397
Paratriaenops furculus	81060220
Triaenops persicus	81069403
Pteropus tuberculatus	18765
Eptesicus andinus	7912
Lophostoma occidentalis	88149174
Nyctimene rabori	14953
Hipposideros fuliginosus	10134
Rhinolophus malayanus	19551
Pipistrellus ceylonicus	17332
Hypsugo vordermanni	44195
Acerodon humilis	138
Mormopterus planiceps	13888
Hipposideros doriae	10130
Pteropus conspicillatus	18721
Eudiscopus denticulus	8168
Promops centralis	88087651
Hipposideros einnaythu	80222798
Vespadelus pumilus	7938
Lonchorhina fernandezi	12271
Lonchophylla hesperia	12266
Barbastella leucomelas	85181182
Miniopterus africanus	44859
Murina beelzebub	84488085
Artibeus amplus	2121
Micronycteris buriri	88120333
Pipistrellus abramus	17320
Glauconycteris alboguttata	44789
Rhinolophus silvestris	19567
Pteropus hypomelanus	18729
Pipistrellus anchietae	44851
Mormopterus halli	71532803
Rhinolophus capensis	19529
Rhinolophus proconsulis	84372306
Sturnira bidens	20950
Molossus rufus	13644
Tadarida fulminans	21316
Styloctenium wallacei	21100
Coelops robinsoni	5076
Thyroptera wynneae	88151033
Acerodon celebensis	137
Chalinolobus tuberculatus	4425
Murina gracilis	84500832
Molossus bondae	88087507
Scotorepens greyii	14943
Corynorhinus mexicanus	17599
Rhinolophus cohenae	64587154
Myotis findleyi	14159
Eptesicus tatei	7942
Rhinolophus arcuatus	19525
Chaerephon russatus	4319
Coelops frithii	5074
Artibeus planirostris	2139
Vespadelus vulturnus	7945
Vampyrodes caraccioli	88151904
Micronycteris megalotis	13379
Anthops ornatus	1620
Eonycteris major	7786
Chiroderma salvini	4666
Glossophaga longirostris	9275
Otomops formosus	15645
Nyctimene malaitensis	14958
Saccolaimus saccolaimus	19802
Myotis frater	14162
Platyrrhinus lineatus	17565
Murina bicolor	84488443
Thyroptera tricolor	21879
Rousettus bidens	19749
Sturnira magna	20956
Scotoecus pallidus	20056
Pteropus nitendiensis	18744
Otomops martiensseni	15648
Molossus currentium	88087340
Hypsugo anthonyi	17327
Aethalops alecto	565
Rhyneptesicus nasutus	7935
Asellia italosomalica	80221456
Sturnira oporaphilum	136494
Megaerops niphanae	12947
Carollia manu	136782
Rhogeessa tumida	19685
Myotis muricola	85537578
Myotis chinensis	14152
Acerodon jubatus	139
Anoura luismanueli	1569
Hipposideros sumbae	10164
Aproteles bulmerae	1933
Rhinolophus fumigatus	19541
Lissonycteris angolensis	44698
Peropteryx trinitatis	136790
Scotophilus nucella	44934
Artibeus lituratus	2136
Plecotus teneriffae	17602
Cynopterus titthaecheilus	6107
Myotis macropus	136697
Rhinolophus inops	19545
Paratriaenops pauliani	81068840
Rhinolophus ziama	44786
Mormoops megalophylla	13878
Ozimops petersi	71534469
Chilonatalus tumidifrons	14361
Mormopterus beccarii	13880
Pipistrellus nathusii	17316
Chaerephon major	4314
Myotis stalkeri	14205
Mimon bennettii	13559
Lasiurus ega	11350
Chaerephon johorensis	4313
Sphaeronycteris toxophyllum	20599
Rhinolophus schnitzleri	82347791
Glischropus javanus	9247
Alionycteris paucidentata	843
Myotis bechsteinii	14123
Lonchophylla fornicata	88150313
Pipistrellus adamsi	17321
Laephotis botswanae	11136
Glauconycteris egeria	44793
Vampyrodes major	88151984
Tonatia saurophila	41530
Nyctimene masalai	14959
Acerodon leucotis	140
Neoromicia helios	44921
Glyphonycteris sylvestris	13384
Myotis melanorhinus	136784
Pteropus keyensis	136528
Rhinophylla fischerae	19592
Eumops underwoodi	8248
Eumops floridanus	136433
Pteropus tonganus	18764
Hipposideros cervinus	10118
Pteropus pelewensis ssp. yapensis	136246
Myotis rosseti	14196
Myotis horsfieldii	14166
Nyctophilus bifax	15001
Myotis morrisi	14182
Hypsignathus monstrosus	10734
Hipposideros semoni	10160
Rhinolophus mehelyi	19519
Taphozous melanopogon	21461
Rhinolophus shortridgei	136631
Phyllostomus latifolius	17219
Myotis alcathoe	136680
Eptesicus taddeii	88151044
Pteropus giganteus	18725
Rhinolophus stheno	84383122
Eumops delticus	87993965
Dobsonia chapmani	6773
Musonycteris harrisoni	14003
Myotis siligorensis	14203
Chiroderma vizottoi	88108434
Lonchophylla concava	136706
Phyllostomus discolor	17216
Pteropus macrotis	18735
Cynomops greenhalli	13639
Kerivoula intermedia	10975
Mormopterus eleryi	71529901
Rhogeessa mira	19683
Plecotus turkmenicus	85535176
Myotis escalerai	85733126
Neoromicia capensis	44918
Scotonycteris zenkeri	84464403
Otomops madagascariensis	136564
Myotis peninsularis	14189
Enchisthenes hartii	2130
Platyrrhinus nigellus	136317
Myotis chiloensis	14151
Tadarida teniotis	21311
Myotis ater	14144
Dermanura azteca	2123
Rhinolophus formosae	136644
Rhinolophus mabuensis	64588047
Myotis thysanodes	14206
Eonycteris robusta	136768
Pteralopex taki	29473
Harpyionycteris celebensis	136776
Epomophorus minor	84458822
Nyctophilus howensis	15006
Neoromicia tenuipinnis	44926
Pipistrellus paterculus	17356
Pipistrellus raceyi	136646
Balantiopteryx plicata	2533
Nanonycteris veldkampii	14333
Myotis lavali	88151601
Molossops aequatorianus	13638
Rhinolophus virgo	19575
Rhinolophus megaphyllus	19553
Rhinonicteris aurantia	19589
Plecotus taivanus	17601
Pteronotus personatus	18709
Pipistrellus hanaki	136209
Rhinolophus mcintyrei	84372245
Rousettus amplexicaudatus	19754
Epomops buettikoferi	7907
Aselliscus tricuspidatus	2156
Sturnira lilium	88159688
Miniopterus gleni	81633094
Hesperoptenus tickelli	9978
Pteropus niger	18743
Lasiurus borealis	11347
Myotis velifer	14208
Cynomops abrasus	13637
Myotis mystacinus	14134
Histiotus macrotus	10201
Tomopeas ravus	21982
Rhinolophus sedulus	19565
Kerivoula kachinensis	136240
Micronycteris sanborni	40029
Hipposideros coxi	10123
Neoromicia brunnea	44917
Otonycteris leucophaea	85295233
Lampronycteris brachyotis	13376
Chaerephon ansorgei	4306
Rhinolophus coelophyllus	19532
Anoura cultrata	1566
Nyctimene aello	14954
Myotis goudoti	14163
Megaloglossus azagnyi	84459322
Rhinolophus euryotis	84372418
Myotis ciliolabrum	14153
Scotoecus hirundo	20055
Myotis riparius	14195
Cynomops planirostris	13642
Lasiurus blossevillii	88151055
Lonchophylla pattoni	88149229
Dermanura gnoma	2129
Coleura seychellensis	5112
Pteropus neohibernicus	18742
Rousettus celebensis	19755
Mops congicus	13839
Eptesicus pachyomus	85200202
Rhinolophus xinanzhongguoensis	82348701
Rousettus lanosus	19758
Lasiurus intermedius	11352
Hipposideros gigas	44687
Eptesicus platyops	7937
Pteropus ualanus	136531
Myonycteris relicta	14098
Miniopterus tristis	13571
Taphozous perforatus	21463
Pteropus capistratus	136373
Kerivoula africana	10966
Rhinolophus rufus	19564
Rhinolophus guineensis	19542
Dobsonia pannietensis	6776
Erophylla sezekorni	8033
Hipposideros stenotis	10163
Pteropus rufus	18756
Rhinolophus darlingi	67369483
Arielulus societatis	40776
Ardops nichollsi	2089
Corynorhinus townsendii	17598
Lonchophylla dekeyseri	12264
Miniopterus minor	13568
Glyphonycteris daviesi	13377
Nycteris major	14934
Rhinolophus siamensis	136651
Neoromicia flavescens	44919
Mormopterus lumsdenae	71531227
Nyctophilus walkeri	15011
Sturnira paulsoni	88154558
Desmodus rotundus	6510
Acerodon mackloti	142
Sturnira luisi	20955
Rhinolophus hipposideros	19518
Ectophylla alba	7030
Emballonura furax	7667
Syconycteris carolinae	21184
Murina leucogaster	13943
Myotis moluccarum	136770
Pteropus lombocensis	18733
Leptonycteris nivalis	11697
Murina rozendaali	13945
Myotis dominicensis	14155
Otonycteris hemprichii	85294528
Miniopterus ambohitrensis	81633128
Miniopterus mahafaliensis	81629764
Hesperoptenus gaskelli	9977
Mops petersoni	13846
Epomophorus grandis	7902
Tylonycteris pachypus	22577
Lasiurus egregius	11351
Sturnira erythromos	20952
Hipposideros khaokhouayensis	136819
Micronycteris yatesi	88132568
Vampyressa thyone	136671
Mormopterus cobourgianus	71536513
Emballonura raffrayana	7668
Latidens salimalii	11374
Lophostoma carrikeri	99783878
Lophostoma silvicolum	88149202
Myotis aelleni	14139
Asellia patrizii	2153
Pipistrellus wattsi	17369
Platyrrhinus fusciventris	88160339
Nyctimene albiventer	14962
Rhinolophus landeri	19546
Hipposideros fulvus	10135
Myotis formosus	14160
Platymops setiger	44692
Notopteris macdonaldi	14876
Choeronycteris mexicana	4776
Eptesicus gobiensis	41531
Philetor brachypterus	16981
Mops demonstrator	13840
Rhinopoma macinnesi	19601
Saccopteryx canescens	19805
Cynopterus luzoniensis	136798
Rhinolophus mitratus	19554
Pteropus ornatus	18746
Falsistrellus petersi	17359
Chalinolobus gouldii	4417
Platyrrhinus ismaeli	136232
Pipistrellus collinus	17334
Anoura cadenai	88109476
Murina ussuriensis	84562332
Neoromicia robertsi	67359364
Hipposideros pratti	10155
Vampyriscus brocki	22838
Penthetor lucasi	16563
Rhinolophus thomasi	19573
Pteropus lylei	18734
Miniopterus schreibersii	81633057
Lonchophylla thomasi	12269
Micronycteris giovanniae	88120398
Rhinolophus trifoliatus	19574
Nyctimene major	14965
Myotis hermani	14165
Melonycteris woodfordi	13140
Rhynchonycteris naso	19714
Scotophilus nigrita	20070
Pipistrellus crassulus	44853
Hipposideros corynophyllus	10122
Hipposideros jonesi	10140
Eptesicus chiriquinus	136524
Glossophaga commissarisi	9273
Pteropus dasymallus	18722
Otopteropus cartilagonodus	15665
Hipposideros galeritus	10136
Myotis badius	85342628
Sturnira ludovici	88159722
Myonycteris torquata	84463104
Glauconycteris machadoi	44797
Myotis annectans	14142
Promops nasutus	18341
Epomops dobsonii	7908
Arielulus cuprosus	40775
Eptesicus diminutus	7922
Vespadelus darlingtoni	7920
Nycteris thebaica	14936
Myotis fimbriatus	85735587
Molossus alvarezi	88087329
Glauconycteris beatrix	44791
Platyrrhinus matapalensis	136378
Micronycteris microtis	136424
Hipposideros speoris	10162
