scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Chaerephon chapini	4310	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Long-crested Free-tailed Bat	J.A. Allen, 1917	2017	LC		False	False	True		10023592		0			Monadjem, A., Cotterill, F., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Chaerephon gallagheri	4311	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Gallagher's Wrinkle-lipped Bat	(Harrison, 1975)	2008	DD		False	False	True							Mickleburgh, S., Hutson, A.M., Bergmans, W. & Cotterill, F.P.D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Chaerephon jobensis	4312	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Greater Northern Free-tailed Bat	(Miller, 1902)	2008	LC		False	False	True			1400	0			McKenzie, N. & Richards, G.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Chaerephon jobimena	136393	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Black And Red Free-tailed Bat	Goodman &amp; Cardiff, 2004	2017	LC		False	False	True		324724	870	50			Monadjem, A., Razafimanahaka, J., Ranivo, J., Kofoky, A., Hutson, A.M., Cardiff, S.G., Andriafidison, D., Goodman, S., Jenkins, R.K.B., Racey, P.A. & Ratrimomanarivo, F.H.	Piraccini, R.				
Chaerephon johorensis	4313	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Northern Free-tailed Bat	(Dobson, 1873)	2014	VU	A4c	False	False	True							Csorba, G. & Kingston, T.	Hutson, A.M., Racey, P.A., Chanson, J.S. & Chiozza, F.				
Chaerephon major	4314	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Large Wrinkle-lipped Bat	(Trouessart, 1897)	2017	LC		False	False	True		9936718		0			Monadjem, A., Cotterill, F., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Chaerephon nigeriae	4315	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Nigerian Free-tailed Bat	Thomas, 1913	2017	LC		False	False	True		14673986	1000	0			Monadjem, A., Bergmans, W., Hutson, A.M., Cotterill, F. & Mickleburgh, S.	Piraccini, R.				
Chaerephon plicatus	4316	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Wrinkle-lipped Free-tailed Bat	(Buchanan, 1800)	2014	LC		False	False	True	>2,000	>20,000	950	0			Csorba, G., Bumrungsri, S., Francis, C., Bates, P., Ong, P., Gumal, M., Kingston, T., Heaney, L., Balete, D., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. & Cox, N.A.				
Chaerephon pumilus	4317	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Little Free-tailed Bat	(Cretzschmar, 1826)	2014	LC		False	False	True							Mickleburgh, S., Hutson, A.M., Racey, P.A., Ravino, J., Bergmans, W., Cotterill, F.P.D. & Gerlach, J.	Hutson, A.M., Racey, P.A. & Cox, N.A.				
Chaerephon russatus	4319	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	MOLOSSIDAE	Chaerephon	Russet Wrinkle-lipped Bat	J.A. Allen, 1917	2008	DD		False	False	True							Mickleburgh, S., Hutson, A.M., Bergmans, W., Fahr, J. & Cotterill, F.P.D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
