scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Hipposideros muscinus	10151	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Fly River Leaf-nosed Bat	(Thomas &amp; Doria, 1886)	2017	LC		False	False	True			750	0			Armstrong, K. & Aplin, K.	Piraccini, R.				
Hipposideros nequam	10152	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Malayan Leaf-nosed Bat	K. Andersen, 1918	2016	DD		False	False	True		68					Senawi, J., Bates, P. & Francis, C	Piraccini, R.				
Hipposideros obscurus	10153	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Philippine Forest Leaf-nosed Bat	(Peters, 1861)	2008	LC		False	False	True			1100	0			Heaney, L., Balete, D., Ong, P., Rosell-Ambal, G., Tabaranza, B. & Gomez, R.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Hipposideros orbiculus	136192	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Orbiculus Leaf-nosed Bat	Francis, Kock &amp; Habersetzer, 1999	2016	VU	B2ab(iii)	False	False	True	500-1999	20235					Francis, C, Bates, P., Kingston, T. & Senawi, J.	Piraccini, R.				
Hipposideros papua	10107	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Biak Leaf-nosed Bat	(Thomas &amp; Doria, 1886)	2008	LC		False	False	True							Helgen, K.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Hipposideros pelingensis	136600	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Peleng Leaf-nosed Bat	Shamel, 1940	2008	NT		False	False	True			1000	0			Hutson, A.M., Schlitter, D. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros pomona	10154	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Andersen's Leaf-nosed Bat	K. Andersen, 1918	2008	LC		False	False	True	>2,000	>20,000	1900	0			Bates, P., Bumrungsri, S., Csorba, G., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Hipposideros pratti	10155	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Pratt's Leaf-nosed Bat	Thomas, 1891	2008	LC		False	False	True			2000	100			Francis, C. & Bates, P.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros pygmaeus	10156	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Philippine Pygmy Leaf-nosed Bat	(Waterhouse, 1843)	2008	LC		False	False	True			200	0			Heaney, L., Balete, D., Ong, P., Rosell-Ambal, G., Tabaranza, B. & Esselstyn, J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Stuart, S.N. (Global Mammal Assessment Team)				
Hipposideros ridleyi	10108	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Ridley's Leaf-nosed Bat	Robinson &amp; Kloss, 1911	2008	VU	A3c	False	False	True			500	0			Francis, C., Kingston, T. & Bumrungsri, S.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros rotalis	136477	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Laotian Leaf-nosed Bat	Francis, Kock &amp; Habersetzer, 1999	2008	LC		False	False	True							Francis, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros ruber	10157	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Noack's Roundleaf Bat	(Noack, 1893)	2017	LC		False	False	True		13057456	2300	0			Monadjem, A., Fahr, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Hipposideros scutinares	136586	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Shield-nosed Leaf-nosed Bat	Robinson, Jenkins, Francis &amp; Fulford, 2003	2008	VU	C1	False	False	True							Francis, C. & Bates, P.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros semoni	10160	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Semon's Leaf-nosed Bat	Matschie, 1903	2017	LC		False	False	True			1400	0			Armstrong, K. & Aplin, K.	Piraccini, R.				
Hipposideros sorenseni	10161	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Sorensen's Leaf-nosed Bat	Kitchener &amp; Maryanto, 1993	2008	VU	D2	False	False	True			1000	0			Maryanto, I., Kingston, T. & Sinaga, U.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros speoris	10162	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Schneider’s Leaf-nosed Bat	(Schneider, 1800)	2008	LC		False	False	True	>2,000	>20,000	1385	0			Molur, S., Yapa, W. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Hipposideros stenotis	10163	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Northern Leaf-nosed Bat	Thomas, 1913	2008	LC		False	False	True							Thomson, B. & McKenzie, N.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Hipposideros sumbae	10164	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Sumban Leaf-nosed Bat	Oei, 1960	2008	LC		False	False	True			1000	0			Hutson, A.M., Schlitter, D. & Suyanto, A.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros tephrus	85646524	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros		Cabrera, 1906	2017	LC		False	False	True							Monadjem, A. & Shapiro, J.	Stone, E., Webala, P., Tanshi, I., Town, M., Guyton, J. & Dos Santos, A.				
Hipposideros thomensis	44689	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros		(Bocage, 1891)	2017	LC		False	False	True		933		0			Monadjem, A., Juste, J., Hutson, A.M., Mickleburgh, S. & Bergmans, W.	Piraccini, R.				
Hipposideros turpis	10165	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Lesser Leaf-nosed Bat	Bangs, 1901	2008	NT		False	False	True							Csorba, G., Bates, P. & Furey, N.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Hipposideros vittatus	135485	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Commerson's Leafnosed Bat	(Peters, 1852)	2008	NT		False	False	True			1700	0			Mickleburgh, S., Hutson, A.M., Bergmans, W. & Cotterill, F.P.D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Hipposideros wollastoni	10166	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Hipposideros	Wollaston's Leaf-nosed Bat	Thomas, 1913	2017	LC		False	False	True			2440	30			Armstrong, K. & Aplin, K.	Piraccini, R.				
Histiotus alienus	10200	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Strange Big-eared Brown Bat	Thomas, 1916	2016	DD		False	False	True		4020					González, E.M. & Barquez, R.	Solari, S.				
Histiotus humboldti	29606	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus		Handley, 1996	2016	DD		False	False	True			2600	1500			Velazco, P. & Aguirre, L.	Solari, S.				
Histiotus laephotis	136502	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Thomas's Big-eared Brown Bat	Thomas, 1916	2008	NT		False	False	True							Barquez, R. & Diaz, M.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Histiotus macrotus	10201	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Big-eared Brown Bat	(Poeppig, 1835)	2016	LC		False	False	True			3600	240			Barquez, R. & Diaz, M.	Solari, S.				
Histiotus magellanicus	136292	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Southern Big-eared Brown Bat	(Philippi, 1866)	2016	LC		False	False	True			1200	500			Barquez, R. & Diaz, M.	Solari, S.				
Histiotus montanus	10202	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Small Big-eared Brown Bat	(Philippi &amp; Landbeck, 1861)	2016	LC		False	False	True			4120	0			Barquez, R. & Diaz, M.	Solari, S.				
Histiotus velatus	10203	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Histiotus	Tropical Big-eared Brown Bat	(I. Geoffroy, 1824)	2016	DD		False	False	True							González, E.M. & Barquez, R.	Solari, S.				
Hylonycteris underwoodi	10598	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Hylonycteris	Underwood's Long-tongued Bat	Thomas, 1903	2016	LC		False	False	True			2640	50			Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.	Solari, S.				
Hypsignathus monstrosus	10734	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Hypsignathus	Hammer-headed Fruit Bat	H. Allen, 1861	2016	LC		False	False	True			1800				Tanshi, I.	Mildenstein, T.	True	This errata assessment has been created because the map was accidentally left out of the version published previously.		
Hypsugo anthonyi	17327	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Anthony's Pipistrelle	Tate, 1942	2016	DD		False	False	True		47					Görföl, T., Francis, C.M., Bates, P.J.J. & Csorba, G.	Piraccini, R.				
Hypsugo bemainty	85200870	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Dark Madagascar pipistrelle	Goodman, Rakotondramanana, Ramasindrazana, Kearney, Maonadjem, Schoeman, Taylor, Naughton &amp; Appleton, 2015	2017	LC		False	False	True			870	0			Goodman, S.	Monadjem, A.				
Hypsugo joffrei	17345	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Joffre's Pipistrelle	Thomas, 1915	2016	DD		False	False	True		27467					Görföl, T., Francis, C.M., Bates, P.J.J. & Csorba, G.	Piraccini, R.				
Hypsugo kitcheneri	17346	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Red-brown Pipistrelle	Thomas, 1915	2016	DD		False	False	True		270564	1500	0			Görföl, T., Kingston, T. & Hutson, A.M.	Piraccini, R.				
Hypsugo lophurus	17347	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Burmese Pipistrelle	Thomas, 1915	2016	DD		False	False	True		3					Görföl, T., Kingston, T., Bates, P.J.J. & Francis, C.M.	Piraccini, R.				
Hypsugo macrotis	17349	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Big-eared Pipistrelle	Temminck, 1840	2016	DD		False	False	True		1082259					Görföl, T., Bates, P.J.J., Lim, L.S. & Francis, C.M.	Piraccini, R.				
Hypsugo savii	44856	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Savi's Pipistrelle	Bonaparte, 1837	2016	LC		False	False	True		15658670	3000	0			Juste, J. & Paunović, M.	Piraccini, R.				
Hypsugo vordermanni	44195	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Hypsugo	Vordermann's Pipistrelle	Jentink, 1890	2016	DD		False	False	True		555827	100	0			Görföl, T., Kingston, T. Hutson, A.M. & Francis, C.M.	Piraccini, R.				
Ia io	10755	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Ia	Great Evening Bat	Thomas, 1902	2008	LC		False	False	True			1700	200			Csorba, G., Bumrungsri, S., Bates, P., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Idionycteris phyllotis	10790	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Idionycteris	Allen's Big-eared Bat	(G.M. Allen, 1916)	2017	LC		False	False	True			3225	403			Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Solari, S.				
Kerivoula africana	10966	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Tanzanian Woolly Bat	Dobson, 1878	2008	EN	B2ab(iii)	False	False	True							Fahr, J. & Jacobs, D.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Kerivoula agnella	10968	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Louisiade Woolly Bat	Thomas, 1908	2008	DD		False	False	True			700	0			Bonaccorso, F. & Hamilton, S.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Kerivoula argentata	10969	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Silvered Woolly Bat	Tomes, 1861	2017	LC		False	False	True		5394603		0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Kerivoula cuprosa	10971	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Copper Woolly Bat	Thomas, 1912	2008	DD		False	False	True			600				Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Kerivoula eriophora	10972	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Ethiopian Woolly Bat	(Heuglin, 1877)	2008	DD		False	False	True							Fahr. J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Kerivoula flora	10973	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Flores Woolly Bat	Thomas, 1914	2008	VU	A2c+3c	False	False	True			1500	0			Francis, C., Hutson, A.M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula hardwickii	10974	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Hardwicke’s Woolly Bat	(Horsfield, 1824)	2008	LC		False	False	True	>2,001	>20,001	2500	100			Rosell-Ambal, G., Tabaranza, B., Heaney, L., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Kerivoula intermedia	10975	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Small Woolly Bat	Hill &amp; Francis, 1984	2008	NT		False	False	True			500	0			Hutson, A.M., Kingston, T. & Francis, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula kachinensis	136240	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Kachin Woolly Bat	Bates, Struebig, Rossiter, Kingston, Sia Sein Lein Oo &amp; Khin Mya Mya, 2004	2008	LC		False	False	True							Bates, P. & Francis, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula krauensis	136572	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Krau Woolly Bat	Francis, Kingston &amp; Zubaid, 2007	2008	DD		False	False	True							Chiozza, F.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Kerivoula lanosa	10977	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Lesser Woolly Bat	(A. Smith, 1847)	2017	LC		False	False	True				0			Monadjem, A., Taylor, P.J., Jacobs, D. & Cotterill, F.	Piraccini, R.				
Kerivoula lenis	136428	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Lenis Woolly Bat	Thomas, 1916	2008	LC		False	False	True							Chiozza, F.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Chanson, J. (Global Mammal Assessment Team)				
Kerivoula minuta	10978	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Least Woolly Bat	Miller, 1898	2008	NT		False	False	True			500	0			Hutson, A.M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula muscina	10979	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Fly River Woolly Bat	Tate, 1941	2017	LC		False	False	True			1600	0			Aplin, K. & Armstrong, K.	Piraccini, R.				
Kerivoula myrella	10980	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Manus Island Woolly Bat	Thomas, 1914	2008	DD		False	False	True			500	0			Hutson, T., Schlitter, D., Csorba, G., Kingston, T., Bonaccorso, F. & Hamilton, S.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Kerivoula papillosa	10981	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Papillose Woolly Bat	(Temminck, 1840)	2008	LC		False	False	True			1050	0			Hutson, A.M. & Kingston, T.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula pellucida	10983	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Clear-winged Woolly Bat	(Waterhouse, 1845)	2008	NT		False	False	True			1000	0			Francis, C., Rosell-Ambal, G., Kingston, T. & Nusalawo, M.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Kerivoula phalaena	10984	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Spurrell's Woolly Bat	Thomas, 1912	2017	LC		False	False	True		2441554		0			Monadjem, A. & Fahr, J.	Piraccini, R.				
Kerivoula picta	10985	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Painted Woolly Bat	(Pallas, 1767)	2008	LC		False	False	True	>2,000	>20,000	1500	0			Hutson, A.M., Francis, C., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Kerivoula smithii	10986	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Smith's Woolly Bat	Thomas, 1880	2017	LC		False	False	True		1541233	2800	900			Monadjem, A. & Fahr, J.	Piraccini, R.				
Kerivoula titania	136817	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Titania's Woolly Bat	Bates, Struebig, Hayes, Furey, Mya Mya, Thong, Tien, Son, Harrison, Francis &amp; Csorba, 2007	2008	LC		False	False	True							Chanson, J.	Hutson, A.M. & Racey, P.A. (Chiroptera Red List Authority)				
Kerivoula whiteheadi	10987	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Kerivoula	Whitehead's Woolly Bat	Thomas, 1894	2008	LC		False	False	True			1400				Francis, C., Rosell-Ambal, G. & Tabaranza, B.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Laephotis angolensis	11135	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Laephotis	Angolan Long-eared Bat	Monard, 1935	2008	DD		False	False	True							Jacobs, D., Cotterill, F.P.D. & Taylor, P.J.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Laephotis botswanae	11136	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Laephotis	Botswanan Long-eared Bat	Setzer, 1971	2017	LC		False	False	True		2677197		0			Monadjem, A. & Schlitter, D.	Piraccini, R.				
Laephotis namibensis	11137	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Laephotis	Namibian Long-eared Bat	Setzer, 1971	2017	LC		False	False	True		147845		0			Monadjem, A. & Schlitter, D.	Piraccini, R.				
Laephotis wintoni	11138	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Laephotis	De Winton's Long-eared Bat	Thomas, 1901	2017	LC		False	False	True				0			Monadjem, A. & Schlitter, D.	Piraccini, R.				
Lampronycteris brachyotis	13376	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Lampronycteris	Yellow-throated Big-eared Bat	(Dobson, 1879)	2008	LC		False	False	True			700				Ochoa, J., Lew, D., Sampaio, E., Lim, B., Peters, S., Arroyo-Cabrales, J., Álvarez-Castañeda, S.T., Cuarón, A.D. & de Grammont, P.C.	Medellín, R. & Schipper, J.				
Lasionycteris noctivagans	11339	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasionycteris	Silver-haired Bat	(La Conte, 1831)	2008	LC		False	False	True							Arroyo-Cabrales, J., Miller, B., Reid, F., Cuarón, A.D. & de Grammont, P.C.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Lasiurus atratus	29607	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus		Handley, 1996	2008	LC		False	False	True							Sampaio, E., Lim, B. & Peters, S.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Lasiurus blossevillii	88151055	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Southern Red Bat	(Lesson &amp; Garnot, 1826)	2016	LC		False	False	True			2600	200			Gonzalez, E., Barquez, R. & Miller, B.	Solari, S.				
Lasiurus borealis	11347	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Eastern Red Bat	(Müller, 1776)	2016	LC		False	False	True							Arroyo-Cabrales, J., Miller, B., Reid, F., Cuarón, A.D. & de Grammont, P.C.	Solari, S.				
Lasiurus castaneus	11348	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Tacarcunan Bat	Handley, 1960	2016	DD		False	False	True							Pineda, W., Rodriguez, B., Samudio Jr, R. & Pino, J.	Solari, S.				
Lasiurus cinereus	11345	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Hoary Bat	(Palisot de Beauvois, 1796)	2016	LC		False	False	True							Gonzalez, E., Barquez, R. & Arroyo-Cabrales, J.	Solari, S.				
Lasiurus degelidus	136306	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Jamaican Red Bat	Miller, 1931	2016	VU	B1ab(iii)	False	False	True		13500	400				Aguiar, L. & Bernard, E.	Solari, S.				
Lasiurus ebenus	11349	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus		Fazzolari-Corrêa, 1994	2016	DD		False	False	True		9					Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Lasiurus ega	11350	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Southern Yellow Bat	(Gervais, 1856)	2016	LC		False	False	True			1860	0			Barquez, R. & Diaz, M.	Solari, S.				
Lasiurus egregius	11351	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Big Red Bat	(Peters, 1870)	2016	DD		False	False	True							Sampaio, E., Lim, B., Peters, S., Samudio Jr, R. & Pino, J.	Solari, S.				
Lasiurus insularis	136754	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Cuban Yellow Bat	Hall &amp; Jones, 1961	2016	VU	B2ab(ii,iii)	False	False	True	700	217994					Mancina, C.	Solari, S.				
Lasiurus intermedius	11352	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Northern Yellow Bat	H. Allen, 1862	2016	LC		False	False	True			1600				Miller, B. & Rodriguez, B.	Solari, S.	True	This errata assessment has been created because the map was accidentally left out of the version published previously.		
Lasiurus minor	136627	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Minor Red Bat	Miller, 1931	2016	VU	A2c	False	False	True	5000	219885					Rodriguez Duran, A.	Solari, S.				
Lasiurus pfeifferi	136217	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Lasiurus	Pfeiffer's Red Bat	(Gundlach, 1861)	2008	NT		False	False	True							Mancina, C. & Rodriguez, A.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
