scientific_name	taxonid
Murina jaintiana	84547975
Nyctophilus howensis	15006
Pteropus niger	18743
Hipposideros ridleyi	10108
Artibeus lituratus	2136
Rhinolophus macrotis	19550
Megaloglossus woermanni	84462869
Hypsugo lophurus	17347
Carollia subrufa	3906
Pteronotus quadridens	18710
Nyctimene major	14965
Rhogeessa bickhami	88151726
Nyctimene albiventer	14962
Platyrrhinus chocoensis	17568
Rhinolophus rufus	19564
Lonchorhina aurita	12270
Rhinolophus nereis	19556
Histiotus velatus	10203
Corynorhinus mexicanus	17599
Lasiurus degelidus	136306
Scotonycteris ophiodon	20059
Glauconycteris beatrix	44791
Neoromicia brunnea	44917
Emballonura raffrayana	7668
Pteropus tokudae	18763
Nyctimene keasti	136441
Megaerops niphanae	12947
Miniopterus shortridgei	136827
Eptesicus dimissus	7921
Vespadelus darlingtoni	7920
Phyllostomus elongatus	17217
Nycteris tragata	14937
Glyphonycteris daviesi	13377
Rhinolophus euryotis	84372418
Hipposideros curtus	10125
Pteropus lombocensis	18733
Rousettus amplexicaudatus	19754
Sturnira magna	20956
Cynomops mexicanus	136611
Rhinolophus convexus	40037
Vespadelus douglasorum	7923
Platyrrhinus nitelinea	88160517
Acerodon mackloti	142
Nyctinomops femorosaccus	14994
Melonycteris fardoulisi	13141
Rhinolophus pusillus	19561
Glauconycteris poensis	44798
Molossops aequatorianus	13638
Myotis dasycneme	14127
Eptesicus andinus	7912
Mops niangarae	13844
Taphozous hildegardeae	21456
Micronycteris schmidtorum	13383
Saccolaimus saccolaimus	19802
Scotoecus hirundo	20055
Lophostoma schulzi	21987
Glischropus tylopus	9248
Glischropus javanus	9247
Kerivoula lenis	136428
Hypsignathus monstrosus	10734
Myotis volans	14210
Dobsonia minor	6770
Vampyressa thyone	136671
Thyroptera discifera	21877
Rhinolophus mehelyi	19519
Pteronotus personatus	18709
Myotis levis	14174
Musonycteris harrisoni	14003
Rhinolophus clivosus	19531
Eonycteris major	7786
Cyttarops alecto	6206
Pteropus conspicillatus	18721
Pipistrellus kuhlii	17314
Natalus mexicanus	136363
Neoromicia isabella	95558146
Platyrrhinus aurarius	17566
Ptenochirus jagori	18653
Pteropus mahaganus	18736
Pteropus seychellensis	18759
Hypsugo bemainty	85200870
Glauconycteris argentata	44790
Pteropus melanopogon	18739
Emballonura furax	7667
Natalus jamaicensis	136824
Myopterus whitleyi	14103
Miniopterus aelleni	81629770
Myotis welwitschii	14211
Eptesicus bobrinskoi	7914
Balantiopteryx io	2532
Myotis oxyotus	14187
Rhinolophus montanus	136248
Harpiocephalus harpia	9736
Pipistrellus javanicus	17344
Miniopterus tristis	13571
Lasiurus egregius	11351
Phyllonycteris aphylla	17173
Rhinopoma macinnesi	19601
Pteropus samoensis	18757
Myotis lavali	88151601
Pteropus woodfordi	18769
Myotis oreias	14186
Antrozous pallidus	1790
Pygoderma bilabiatum	18945
Myotis blythii	14124
Dermanura bogotensis	83683094
Hipposideros caffer	10115
Epomophorus gambianus	7903
Rhinolophus proconsulis	84372306
Kerivoula lanosa	10977
Micronycteris megalotis	13379
Hipposideros cyclops	10126
Molossus coibensis	102208365
Glauconycteris kenyacola	44796
Cynopterus titthaecheilus	6107
Rhinolophus megaphyllus	19553
Myotis hermani	14165
Pteropus rufus	18756
Eptesicus kobayashii	7933
Lonchophylla chocoana	136348
Hipposideros corynophyllus	10122
Pteropus dasymallus	18722
Neopteryx frosti	14560
Otopteropus cartilagonodus	15665
Paremballonura tiavato	136835
Phyllostomus latifolius	17219
Scotophilus dinganii	20066
Nycteris macrotis	14933
Hipposideros lankadiva	10142
Pteropus alecto	18715
Pteropus scapulatus	18758
Thyroptera devivoi	136594
Miniopterus australis	13562
Chaerephon aloysiisabaudiae	4305
Nycteris parisii	44695
Taphozous troughtoni	21466
Lasiurus pfeifferi	136217
Lophostoma silvicolum	88149202
Chaerephon ansorgei	4306
Hipposideros orbiculus	136192
Hypsugo macrotis	17349
Pteropus capistratus	136373
Miniopterus mahafaliensis	81629764
Vampyriscus brocki	22838
Vampyriscus bidens	22837
Vespertilio murinus	22947
Hipposideros sumbae	10164
Rhinolophus fumigatus	19541
Emballonura semicaudata	7669
Eumops patagonicus	136825
Hesperoptenus gaskelli	9977
Myotis nipalensis	136495
Otomops johnstonei	15647
Pipistrellus rueppellii	17361
Coelops frithii	5074
Miniopterus sororculus	136401
Nyctinomops macrotis	14996
Tadarida ventralis	21318
Pteralopex taki	29473
Rhinolophus acuminatus	19520
Noctilio albiventris	14829
Pipistrellus anchietae	44851
Neoromicia capensis	44918
Scotophilus leucogaster	20069
Nycteris vinsoni	44696
Pteropus speciosus	18760
Pteropus rodricensis	18755
Nyctimene certans	14964
Molossops neglectus	13641
Plecotus sardus	136503
Myonycteris brachycephala	14097
Pteronotus davyi	18705
Nyctimene aello	14954
Haplonycteris fischeri	9690
Chaerephon tomensis	4321
Dermanura tolteca	2140
Dobsonia anderseni	136374
Nyctalus azoreum	14922
Lampronycteris brachyotis	13376
Myotis aurascens	136553
Triaenops rufus	40026
Rhinopoma muscatellum	19602
Myotis evotis	14157
Cardioderma cor	3859
Hipposideros commersoni	10120
Murina tenebrosa	13948
Neoromicia malagasyensis	136820
Chalinolobus picatus	4422
Epomophorus grandis	7902
Nyctimene draconilla	14956
Myotis mystacinus	14134
Myotis austroriparius	14147
Scotophilus heathii	20067
Anoura luismanueli	1569
Lionycteris spurrelli	12078
Myotis septentrionalis	14201
Rhinolophus denti	19538
Eptesicus guadeloupensis	7929
Micronycteris minuta	13380
Lasiurus salinae	88151061
Mormopterus minutus	13884
Myotis nigricans	14185
Rhinolophus osgoodi	19557
Notopteris neocaledonica	136519
Plecotus balensis	44930
Dobsonia crenulata	136571
Mormopterus jugularis	13882
Hipposideros pomona	10154
Nyctalus aviator	14921
Myotis keenii	14171
Pipistrellus ariel	44852
Lasiurus varius	136690
Myotis soror	85342662
Aselliscus tricuspidatus	2156
Nyctinomops aurispinosus	14993
Rhinolophus coelophyllus	19532
Rhinolophus lepidus	19547
Rhinolophus celebensis	19530
Styloctenium mindorensis	136534
Myotis chinensis	14152
Murina ryukyuana	29485
Glyphonycteris sylvestris	13384
Hipposideros khaokhouayensis	136819
Hipposideros cervinus	10118
Pteropus vampyrus	18766
Myotis secundus	85342651
Megaderma spasma	12939
Eumops auripendulus	8241
Rhinolophus ferrumequinum	19517
Histiotus magellanicus	136292
Lasionycteris noctivagans	11339
Pteronotus paraguanensis	136610
Rhinolophus simulator	19568
Rhinolophus subbadius	19570
Rhinolophus adami	19521
Murina puta	13944
Kerivoula smithii	10986
Glauconycteris egeria	44793
Philetor brachypterus	16981
Laephotis namibensis	11137
Hipposideros abae	10109
Casinycteris campomaanensis	84455300
Saccopteryx antioquensis	136420
Sturnira bogotensis	20951
Mormopterus kalinowskii	13883
Mormopterus loriae	82345325
Macrotus waterhousii	12653
Myotis atacamensis	14143
Miniopterus minor	13568
Pipistrellus hesperidus	136741
Murina ussuriensis	13950
Laephotis angolensis	11135
Pteropus temminckii	18762
Megaderma lyra	12938
Taphozous mauritianus	21460
Pteropus voeltzkowi	18768
Pteropus rennelli	136685
Rhinolophus subrufus	19571
Rhinolophus hildebrandtii	64586080
Triaenops persicus	81069403
Rhinolophus rex	19562
Plecotus ognevi	136598
Pteropus aruensis	136504
Latidens salimalii	11374
Dobsonia chapmani	6773
Acerodon humilis	138
Ia io	10755
Kerivoula krauensis	136572
Scotophilus nucella	44934
Saccopteryx canescens	19805
Eptesicus platyops	7937
Pteronotus gymnonotus	18706
Nycticeius cubanus	136386
Myotis horsfieldii	14166
Mormopterus eleryi	71529901
Hipposideros dyacorum	10132
Ectophylla alba	7030
Neoromicia helios	44921
Epomophorus minor	84458822
Diclidurus isabella	6563
Plecotus kolombatovici	136473
Epomops franqueti	7909
Neoromicia guineensis	44920
Ptenochirus minor	18654
Myotis rosseti	14196
Cloeotis percivali	4983
Dobsonia praedatrix	6777
Rhinolophus sinicus	41529
Myotis dinellii	136204
Nyctinomops laticaudatus	14995
Artibeus inopinatus	2132
Phyllonycteris poeyi	17175
Lonchophylla bokermanni	12263
Taphozous theobaldi	21465
Micropteropus intermedius	13401
Otomops secundus	15650
Murina tubinaris	13949
Lasiurus blossevillii	88151055
Micronycteris brosseti	40028
Glossophaga soricina	9277
Myotis simus	14204
Hipposideros muscinus	10151
Eumops perotis	8247
Rhinolophus formosae	136644
Cistugo lesueuri	44787
Rhinopoma hadramauticum	82345696
Scotophilus viridis	20073
Pipistrellus nathusii	17316
Nycteris nana	14935
Hipposideros galeritus	10136
Hylonycteris underwoodi	10598
Myotis anjouanensis	44863
Nycteris madagascariensis	40022
Emballonura alecto	7670
Pipistrellus adamsi	17321
Platyrrhinus incarum	88160214
Myotis altarium	14141
Peropteryx leucoptera	16708
Dyacopterus brooksi	136356
Pteropus nitendiensis	18744
Pipistrellus pulveratus	17360
Natalus major	136548
Myotis chiloensis	14151
Otomops madagascariensis	136564
Mops bakarii	67363010
Myotis macropus	136697
Otomops wroughtoni	15646
Otonycteris hemprichii	85294528
Scotophilus celebensis	20065
Rhinolophus mitratus	19554
Rhinolophus siamensis	136651
Histiotus laephotis	136502
Pteropus molossinus	18741
Hypsugo joffrei	17345
Pipistrellus pygmaeus	136649
Nyctimene masalai	14959
Enchisthenes hartii	2130
Hesperoptenus tomesi	9979
Myopterus daubentonii	14102
Pipistrellus hanaki	136209
Mormoops blainvillei	13877
Kerivoula cuprosa	10971
Rhinolophus madurensis	136410
Hipposideros jonesi	10140
Hipposideros armiger	10110
Myotis muricola	14183
Myotis csorbai	29420
Amorphochilus schnablii	1154
Hipposideros ater	10111
Choeronycteris mexicana	4776
Rhinolophus thomasi	19573
Myotis macrodactylus	14177
Nyctimene sanctacrucis	14961
Thoopterus nigrescens	21815
Myotis davidii	136250
Hipposideros boeadii	136566
Syconycteris hobbit	21183
Macroglossus minimus	12594
Eidolon dupreanum	7083
Molossus aztecus	13645
Promops davisoni	88087551
Nycteris major	14934
Brachyphylla nana	2983
Taphozous longimanus	21459
Megaerops wetmorei	12948
Nyctimene malaitensis	14958
Glauconycteris variegata	44800
Platyrrhinus recifinus	17572
Rousettus madagascariensis	19750
Sphaerias blanfordi	20521
Eonycteris robusta	136768
Chalinolobus dwyeri	4414
Plecotus sacrimontis	136664
Sturnira hondurensis	88154577
Myotis findleyi	14159
Rhinonicteris aurantia	19589
Vespertilio sinensis	22949
Scotophilus livingstonii	84466826
Myotis capaccinii	14126
Pteropus howensis	18728
Emballonura monticola	7674
Myotis laniger	136429
Dobsonia peronii	6771
Epomophorus labiatus	84457881
Rhogeessa tumida	19685
Scotophilus robustus	20072
Lasiurus borealis	11347
Myotis izecksohni	88151563
Phylloderma stenops	17168
Platyrrhinus lineatus	17565
Promops nasutus	18341
Leptonycteris nivalis	11697
Lophostoma brasiliense	21984
Rhogeessa io	88151760
Pipistrellus sturdeei	17365
Falsistrellus mackenziei	17348
Penthetor lucasi	16563
Scoteanax rueppellii	14946
Nycteris aurita	14927
Vampyrum spectrum	22843
Mesophylla macconnelli	13240
Rhinolophus beddomei	40023
Mops trevori	13850
Dobsonia exoleta	6775
Rhinolophus mcintyrei	84372245
Hipposideros calcaratus	10116
Scotophilus tandrefana	136675
Rhinolophus guineensis	19542
Scotophilus ejetai	84466810
Uroderma bilobatum	22782
Chaerephon bivittatus	4308
Kerivoula myrella	10980
Murina suilla	13947
Phyllostomus discolor	17216
Nyctimene minutus	14960
Myotis elegans	14156
Pipistrellus maderensis	17315
Vampyrodes major	88151984
Megaerops kusnotoi	12945
Lonchophylla thomasi	12269
Nyctalus plancyi	136828
Artibeus jamaicensis	88109731
Miniopterus fuscus	13564
Pteronotus mesoamericanus	88018392
Peropteryx macrotis	16709
Myotis australis	14146
Lophostoma occidentalis	88149174
Myotis escalerai	85733126
Ariteus flavescens	2110
Sturnira bidens	20950
Lonchophylla concava	136706
Platyrrhinus dorsalis	88160389
Lasiurus xanthinus	41532
Glauconycteris alboguttata	44789
Rhinolophus shameli	19566
Aethalops aequalis	136541
Plecotus christii	44931
Arielulus circumdatus	41534
Diclidurus albus	6561
Miniopterus inflatus	13565
Pipistrellus collinus	17334
Rousettus leschenaultii	19756
Eptesicus innoxius	7932
Scotophilus andrewreborii	84466713
Pteropus tonganus	18764
Myotis ikonnikovi	14168
Phoniscus papuensis	10982
Nycteris grandis	14929
Kerivoula argentata	10969
Neoromicia rendalli	44924
Nycteris gambiensis	14928
Myotis annamiticus	136279
Laephotis wintoni	11138
Pteralopex anceps	18656
Triaenops afer	81081036
Diaemus youngi	6520
Pteropus intermedius	136841
Kerivoula pellucida	10983
Rhinolophus deckenii	19537
Hipposideros nequam	10152
Coelops robinsoni ssp. hirsutus	5075
Cynomops planirostris	13642
Scotophilus collinus	136612
Platyrrhinus brachycephalus	17567
Rousettus obliviosus	19757
Harpiola grisea	13941
Kerivoula phalaena	10984
Saccolaimus peli	19801
Asellia italosomalica	80221456
Hipposideros maggietaylorae	10148
Scotophilus nigrita	20070
Mops congicus	13839
Monophyllus plethodon	13719
Lasiurus cinereus	11345
Arielulus societatis	40776
Micronycteris sanborni	40029
Syconycteris carolinae	21184
Tadarida latouchei	40036
Scleronycteris ega	20033
Glyphonycteris behnii	13375
Myonycteris leptodon	84463728
Eptesicus nasutus	7935
Murina hilgendorfi	136409
Rhinolophus bocharicus	19526
Chaerephon jobensis	4312
Myotis fortidens	14161
Myotis yanbarensis	29484
Nyctimene robinsoni	14966
Rhinolophus mossambicus	64589126
Mormopterus phrudus	13887
Eudiscoderma thongareeae	80263386
Lichonycteris obscura	11966
Scotozous dormeri	17338
Carollia sowelli	136268
Myotis albescens	14140
Molossus alvarezi	88087329
Pteropus chrysoproctus	99688187
Vespadelus finlaysoni	7924
Nycticeius humeralis	14944
Falsistrellus tasmaniensis	17367
Sturnira nana	20958
Hipposideros coxi	10123
Pteropus vetulus	18767
Nyctiellus lepidus	14358
Hipposideros thomensis	44689
Glossophaga commissarisi	9273
Arielulus aureocollaris	40031
Myotis thysanodes	14206
Pipistrellus westralis	17370
Kerivoula intermedia	10975
Pteropus pohlei	18750
Rhinolophus keyensis	19577
Scotophilus nux	20071
Myonycteris relicta	14098
Myotis ruber	14197
Dermanura phaeotis	83683287
Eumops hansae	8245
Myotis dieteri	136678
Arielulus cuprosus	40775
Pteropus pelewensis ssp. yapensis	136246
Myotis hajastanicus	136288
Tylonycteris pachypus	22577
Austronomus kuboriensis	136201
Scotorepens sanborni	14947
Ardops nichollsi	2089
Anoura cultrata	1566
Hipposideros bicolor	10113
Pteropus loochoensis	18773
Pteralopex atrata	18657
Hipposideros speoris	10162
Eptesicus pachyotis	7936
Emballonura beccarii	7672
Hipposideros semoni	10160
Myotis bechsteinii	14123
Pteropus rayneri	18754
Mops mops	13842
Rhinolophus euryale	19516
Dermanura rosenbergi	136505
Paranyctimene raptor	16174
Anthops ornatus	1620
Hesperoptenus blanfordi	9975
Rhogeessa hussoni	136220
Pipistrellus wattsi	17369
Mormopterus planiceps	13888
Lasiurus ebenus	11349
Rhinolophus cognatus	19533
Platyrrhinus albericoi	136203
Coelops robinsoni	5076
Hipposideros camerunensis	10117
Myotis nattereri	14135
Lasiurus ega	11350
Histiotus humboldti	29606
Tadarida insignis	136716
Myotis ridleyi	14194
Pteropus macrotis	18735
Pipistrellus cadornae	17331
Myotis occultus	136650
Saccopteryx bilineata	19804
Hipposideros cineraceus	10119
Chaerephon bemmeleni	4307
Rhogeessa gracilis	19681
Vespadelus troughtoni	7944
Dermanura azteca	2123
Mops condylurus	13838
Myotis frater	14162
Kerivoula picta	10985
Taphozous perforatus	21463
Lonchophylla handleyi	12265
Hipposideros coronatus	10121
Myotis stalkeri	14205
Hesperoptenus tickelli	9978
Euderma maculatum	8166
Cynopterus brachyotis	6103
Glossophaga longirostris	9275
Mormopterus beccarii	13880
Anoura fistulata	136239
Natalus primus	136777
Lonchorhina fernandezi	12271
Epomophorus minimus	7905
Vespadelus vulturnus	7945
Tadarida brasiliensis	21314
Pipistrellus subflavus	17366
Epomophorus crypturus	44697
Myotis grisescens	14132
Pipistrellus aero	17323
Myotis tricolor	14207
Peropteryx kappleri	16707
Asellia arabica	80222726
Glossophaga morenoi	9276
Dermanura gnoma	2129
Artibeus schwartzi	88109897
Murina aenea	13936
Pipistrellus papuanus	17355
Tadarida aegyptiaca	21312
Miniopterus pusillus	13569
Peropteryx pallidoptera	85822291
Pipistrellus raceyi	136646
Mops brachypterus	13837
Erophylla bombifrons	136247
Rhinolophus indorouxii	84376286
Centronycteris maximiliani	4112
Pteropus pselaphon	18752
Neoromicia zuluensis	44927
Rhogeessa genowaysi	19680
Hipposideros beatus	10112
Pipistrellus nanulus	17353
Miniopterus egeri	81633146
Scotophilus trujilloi	84466859
Sphaeronycteris toxophyllum	20599
Pipistrellus coromandra	17335
Miniopterus natalensis	44862
Pipistrellus crassulus	44853
Nyctophilus shirleyae	85289876
Mirimiri acrodonta	18655
Nyctophilus microdon	15007
Chaerephon jobimena	136393
Neoromicia nana	44923
Vespadelus regulus	7939
Hipposideros hypophyllus	10138
Pteropus leucopterus	18731
Chaerephon plicatus	4316
Chiroderma vizzotoi	88108434
Kerivoula hardwickii	10974
Sturnira sorianoi	136778
Hipposideros madurae	10147
Rhinopoma hardwickii	82345477
Platyrrhinus matapalensis	136378
Rhinolophus paradoxolophus	19558
Cynomops paranus	87993365
Eptesicus taddeii	88151044
Mops leucostigma	40024
Pipistrellus minahassae	17350
Nyctophilus microtis	15008
Asellia tridens	80221529
Mops petersoni	13846
Hypsugo anthonyi	17327
Rousettus lanosus	19758
Pteropus pelewensis ssp. pelewensis	136387
Nyctalus noctula	14920
Pteropus pumilus	18753
Rhinolophus cohenae	64587154
Histiotus macrotus	10201
Balantiopteryx infusca	2531
Rhinolophus damarensis	67369846
Neoromicia robertsi	67359364
Noctilio leporinus	14830
Hipposideros lylei	10145
Mops nanulus	13843
Murina cyclotis	13938
Miniopterus medius	13567
Acerodon leucotis	140
Tonatia bidens	21983
Hipposideros durgadasi	10131
Pteropus ornatus	18746
Chaerephon gallagheri	4311
Rhogeessa parvula	19684
Miniopterus robustior	13570
Neoromicia flavescens	44919
Pteropus anetianus	18716
Trinycteris nicefori	13381
Paratriaenops pauliani	81068840
Cistugo seabrae	44788
Myotis morrisi	14182
Rhinolophus sedulus	19565
Pteropus cognatus	136397
Nycteris intermedia	14931
Rhinolophus shortridgei	136631
Micronycteris hirsuta	13378
Myotis longipes	14175
Epomops dobsonii	7908
Dobsonia inermis	6778
Chalinolobus tuberculatus	4425
Miniopterus maghrebensis	81633156
Phoniscus aerosa	10967
Miniopterus griveaudi	136752
Micronycteris giovanniae	88120398
Nyctophilus geoffroyi	15003
Lasiurus intermedius	11352
Eptesicus brasiliensis	7916
Neoromicia roseveari	67359375
Megaloglossus azagnyi	84459322
Taphozous melanopogon	21461
Natalus lanatus	136194
Cynomops abrasus	13637
Miniopterus paululus	136233
Hipposideros grandis	136478
Sturnira erythromos	20952
Taphozous hamiltoni	21455
Myotis sicarius	14202
Mops thersites	13849
Miniopterus africanus	44859
Platyrrhinus helleri	88159886
Pteralopex flanneryi	136587
Artibeus fraterculus	2127
Natalus stramineus	14360
Lasiurus insularis	136754
Choeroniscus periosus	4775
Hipposideros doriae	10130
Platyrrhinus umbratus	95908089
Pteropus subniger	18761
Chalinolobus gouldii	4417
Otomops martiensseni	15648
Eumops nanus	87994060
Mops niveiventer	13845
Rhinolophus hillorum	44782
Otomops formosus	15645
Ametrida centurio	1137
Mormopterus ridei	71533043
Syconycteris australis	21185
Aselliscus stoliczkanus	2155
Glauconycteris curryae	44792
Kerivoula muscina	10979
Tylonycteris robustula	22578
Rousettus aegyptiacus	29730
Hipposideros demissus	10127
Uroderma magnirostrum	22783
Tomopeas ravus	21982
Pteronotus macleayii	18707
Rhinolophus malayanus	19551
Murina huttoni	13942
Rhinophylla fischerae	19592
Myotis ciliolabrum	14153
Pteropus personatus	18747
Diclidurus ingens	6562
Rousettus bidens	19749
Choeroniscus godmani	4772
Dobsonia pannietensis	6776
Rhinopoma cystops	82345555
Nyctophilus arnhemensis	15000
Murina florium	13939
Eptesicus gobiensis	41531
Hipposideros papua	10107
